sample_name,is.paired,paircode
2-54-05,n,
2-54-20,n,
2-62-05,n,
2-65-13,n,
2-70-20,n,
2-71-05,n,
2-71-06,n,
2-71-27,n,
3-65-20,n,
3-66-06,n,
3-66-27,n,
4-61-06,n,
4-61-13,n,
4-61-20,n,
4-62-05,n,
4-62-27,n,
4-69-05,n,
4-76-05,n,
4-77-06,n,
5-55-20,n,
5-55-27,n,
5-79-27,n,
2-54-06,y,n-e-55-01
2-54-13,y,n-e-54-8
2-54-27,y,n-e-54-22
2-61-20,y,n-t-61-15
2-61-27,y,n-t-60-22
2-62-06,y,n-t-61-01
3-55-13,y,n-e-54-8
3-55-27,y,n-e-54-22
3-56-06,y,n-e-55-01
3-60-06,y,n-t-61-01
3-60-27,y,n-t-60-22
3-61-20,y,n-t-61-15
4-70-06,y,s-t-70-01
4-70-13,y,s-t-70-08
4-70-20,y,s-t-70-15
4-70-27,y,s-t-70-22
4-76-20,y,s-e-76-15
5-70-06,y,s-t-70-01
5-70-13,y,s-t-70-08
5-70-20,y,s-t-70-15
5-70-27,y,s-t-70-22
5-78-20,y,s-e-76-15
